id,report_date,department,risk_score,financial_metric
1,2024-01-01,FinTech,10.187950253729031,27182.81828459053
2,2024-01-02,FinTech,10.01296055404085,27379.281537922197
3,2024-01-03,FinTech,9.843821639492115,27568.85417648289
4,2024-01-04,FinTech,9.680460415173874,27751.642536331834
5,2024-01-05,FinTech,9.52280378617718,27927.752953528226
6,2024-01-06,FinTech,9.370778657593076,28097.291764131256
7,2024-01-07,FinTech,9.224311934512615,28260.365304200142
8,2024-01-08,FinTech,9.083330522026841,28417.07990979407
9,2024-01-09,FinTech,8.947761325226809,28567.541916972245
10,2024-01-10,FinTech,8.817531249203554,28711.857661793878
11,2024-01-11,FinTech,8.692567199048142,28850.13348031816
12,2024-01-12,FinTech,8.57279607985161,28982.47570860431
13,2024-01-13,FinTech,8.458144796705014,29108.99068271152
14,2024-01-14,FinTech,8.34854025469939,29229.784738698974
15,2024-01-15,FinTech,8.243909358925794,29344.964212625895
16,2024-01-16,FinTech,8.144179014475283,29454.635440551494
17,2024-01-17,FinTech,8.049276126438889,29558.90475853495
18,2024-01-18,FinTech,7.9591275999076725,29657.878502635474
19,2024-01-19,FinTech,7.873660339972675,29751.66300891227
20,2024-01-20,FinTech,7.792801251724951,29840.364613424546
21,2024-01-21,FinTech,7.716477240255539,29924.08965223148
22,2024-01-22,FinTech,7.644615210655499,30002.944461392297
23,2024-01-23,FinTech,7.577142068015875,30077.0353769662
24,2024-01-24,FinTech,7.513984717427716,30146.468735012386
25,2024-01-25,FinTech,7.455070063982062,30211.35087159003
26,2024-01-26,FinTech,7.400325012769974,30271.788122758368
27,2024-01-27,FinTech,7.349676468882496,30327.886824576606
28,2024-01-28,FinTech,7.303051337410671,30379.753313103913
29,2024-01-29,FinTech,7.260376523445557,30427.493924399525
30,2024-01-30,FinTech,7.2215789320781925,30471.214994522616
31,2024-01-31,FinTech,7.186585468399633,30511.022859532408
32,2024-02-01,FinTech,7.155323037500923,30547.0238554881
33,2024-02-02,FinTech,7.127718544473112,30579.32431844887
34,2024-02-03,FinTech,7.103698894407254,30608.030584473967
35,2024-02-04,FinTech,7.083190992394388,30633.24898962255
36,2024-02-05,FinTech,7.066121743525565,30655.085869953826
37,2024-02-06,FinTech,7.052418052891835,30673.647561527017
38,2024-02-07,FinTech,7.042006825584252,30689.040400401325
39,2024-02-08,FinTech,7.0348149666938555,30701.37072263593
40,2024-02-09,FinTech,7.030769381311695,30710.74486429004
41,2024-02-10,FinTech,7.029796974528826,30717.269161422882
42,2024-02-11,FinTech,7.03182465143629,30721.04995009363
43,2024-02-12,FinTech,7.036779317125134,30722.193566361486
44,2024-02-13,FinTech,7.044587876686414,30720.806346285673
45,2024-02-14,FinTech,7.055177235211175,30716.994625925377
46,2024-02-15,FinTech,7.0684742977904635,30710.86474133981
47,2024-02-16,FinTech,7.084405969515327,30702.523028588148
48,2024-02-17,FinTech,7.102899155476815,30692.075823729614
49,2024-02-18,FinTech,7.1238807607659815,30679.629462823432
50,2024-02-19,FinTech,7.147277690473868,30665.29028192876
51,2024-02-20,FinTech,7.173016849691527,30649.16461710483
52,2024-02-21,FinTech,7.2010251435100034,30631.35880441083
53,2024-02-22,FinTech,7.2312294770203485,30611.97917990597
54,2024-02-23,FinTech,7.2635567553136084,30591.132079649444
55,2024-02-24,FinTech,7.297933883480833,30568.923839700452
56,2024-02-25,FinTech,7.334287766613072,30545.460796118223
57,2024-02-26,FinTech,7.372545309801371,30520.84928496192
58,2024-02-27,FinTech,7.412633418136777,30495.19564229076
59,2024-02-28,FinTech,7.454478996710344,30468.606204163952
60,2024-02-29,FinTech,7.498008950613118,30441.1873066407
61,2024-03-01,FinTech,7.543150184936145,30413.045285780197
62,2024-03-02,FinTech,7.589829604770477,30384.286477641646
63,2024-03-03,FinTech,7.637974115207159,30355.017218284243
64,2024-03-04,FinTech,7.687510621337243,30325.34384376721
65,2024-03-05,FinTech,7.7383660282517726,30295.372690149725
66,2024-03-06,FinTech,7.7904672410418,30265.210093491005
67,2024-03-07,FinTech,7.8437411647983755,30234.962389850254
68,2024-03-08,FinTech,7.89811470461254,30204.73591528666
69,2024-03-09,FinTech,7.95351476557535,30174.63700585944
70,2024-03-10,FinTech,8.00986825277785,30144.771997627784
71,2024-03-11,FinTech,8.067102071311087,30115.2472266509
72,2024-03-12,FinTech,8.125143126266115,30086.16902898799
73,2024-03-13,FinTech,8.183918322733973,30057.643740698248
74,2024-03-14,FinTech,8.24335456580572,30029.77769784089
75,2024-03-15,FinTech,8.303378760572398,30002.677236475112
76,2024-03-16,FinTech,8.363917812125058,29976.44869266011
77,2024-03-17,FinTech,8.424898625554748,29951.198402455095
78,2024-03-18,FinTech,8.486248105952512,29927.03270191926
79,2024-03-19,FinTech,8.547893158409405,29904.05792711181
80,2024-03-20,FinTech,8.609760688016472,29882.38041409195
81,2024-03-21,FinTech,8.671777599864763,29862.10649891888
82,2024-03-22,FinTech,8.733870799045324,29843.342517651807
83,2024-03-23,FinTech,8.795967190649204,29826.194806349922
84,2024-03-24,FinTech,8.857993679767453,29810.769701072437
85,2024-03-25,FinTech,8.919877171491121,29797.17353787854
86,2024-03-26,FinTech,8.98154457091125,29785.512652827452
87,2024-03-27,FinTech,9.042922783118897,29775.89338197837
88,2024-03-28,FinTech,9.1039387132051,29768.42206139048
89,2024-03-29,FinTech,9.164519266260918,29763.205027123007
90,2024-03-30,FinTech,9.224591347377395,29760.348615235136
91,2024-03-31,FinTech,9.284081861645575,29759.959161786075
92,2024-04-01,FinTech,9.342917714156513,29762.143002835026
93,2024-04-02,FinTech,9.401025810001254,29767.00647444119
94,2024-04-03,FinTech,9.458333054270849,29774.655912663766
95,2024-04-04,FinTech,9.514766352056343,29785.197653561965
96,2024-04-05,FinTech,9.570252608448788,29798.73803319498
97,2024-04-06,FinTech,9.624718728539229,29815.383387622016
98,2024-04-07,FinTech,9.678091617418714,29835.240052902274
99,2024-04-08,FinTech,9.730298180178298,29858.414365094963
100,2024-04-09,FinTech,9.781265321909022,29885.012660259265
101,2024-04-10,FinTech,9.830919947701936,29915.14127445441
102,2024-04-11,FinTech,9.879188962648092,29948.906543739584
103,2024-04-12,FinTech,9.925999271838533,29986.414804173983
104,2024-04-13,FinTech,9.97127778036431,30027.77239181682
105,2024-04-14,FinTech,10.014951393316476,30073.0856427273
106,2024-04-15,FinTech,10.056947015786074,30122.460892964613
107,2024-04-16,FinTech,10.097191552864151,30176.00447858796
108,2024-04-17,FinTech,10.135611909641762,30233.822735656562
109,2024-04-18,FinTech,10.17213499120995,30296.022000229605
110,2024-04-19,FinTech,10.20668770265976,30362.708608366287
111,2024-04-20,FinTech,10.23919694908225,30433.988896125826
112,2024-04-21,FinTech,10.269589635568462,30509.969199567404
113,2024-04-22,FinTech,10.29779266720945,30590.755854750245
114,2024-04-23,FinTech,10.323732949096255,30676.45519773354
115,2024-04-24,FinTech,10.347337386319925,30767.17356457648
116,2024-04-25,FinTech,10.368532883971518,30863.01729133829
117,2024-04-26,FinTech,10.387246347142076,30964.092714078153
118,2024-04-27,FinTech,10.403404680922646,31070.506168855274
119,2024-04-28,FinTech,10.41693479040428,31182.363991728875
120,2024-04-29,FinTech,10.427763580678022,31299.77251875812
121,2024-04-30,FinTech,10.435817956834928,31422.838086002244
122,2024-05-01,FinTech,10.441030644721398,31551.65337475347
123,2024-05-02,FinTech,10.443416430703657,31686.118562547097
124,2024-05-03,FinTech,10.443050791384959,31825.991455182706
125,2024-05-04,FinTech,10.440010627761477,31971.02651701154
126,2024-05-05,FinTech,10.43437284082938,32120.978212384838
127,2024-05-06,FinTech,10.42621433158483,32275.60100565384
128,2024-05-07,FinTech,10.415612001024009,32434.649361169824
129,2024-05-08,FinTech,10.40264275014308,32597.877743284014
130,2024-05-09,FinTech,10.387383479938208,32765.04061634765
131,2024-05-10,FinTech,10.369911091405568,32935.892444712
132,2024-05-11,FinTech,10.35030248554133,33110.187692728294
133,2024-05-12,FinTech,10.32863456334166,33287.680824747775
134,2024-05-13,FinTech,10.304984225802727,33468.12630512172
135,2024-05-14,FinTech,10.279428373920702,33651.27859820134
136,2024-05-15,FinTech,10.252043908691757,33836.892168337894
137,2024-05-16,FinTech,10.222907731112059,34024.721479882646
138,2024-05-17,FinTech,10.192096742177775,34214.52099718682
139,2024-05-18,FinTech,10.159687842885074,34406.045184601666
140,2024-05-19,FinTech,10.125757934230133,34599.048506478444
141,2024-05-20,FinTech,10.090383917209113,34793.28542716838
142,2024-05-21,FinTech,10.053642692818187,34988.51041102275
143,2024-05-22,FinTech,10.015611162053524,35184.477922392776
144,2024-05-23,FinTech,9.976366225911296,35380.942425629706
145,2024-05-24,FinTech,9.935984785387664,35577.6583850848
146,2024-05-25,FinTech,9.894543741478804,35774.38026510929
147,2024-05-26,FinTech,9.852119995180887,35970.86253005444
148,2024-05-27,FinTech,9.80879044749008,36166.85964427149
149,2024-05-28,FinTech,9.764631999402551,36362.12607211168
150,2024-05-29,FinTech,9.719721551914468,36556.41627792625
